rank,prev_rank,name,league,off,def,spi
227,225,Shandong Luneng,Chinese Super League,1.52,1.39,48.65
228,218,Vitesse,Dutch Eredivisie,1.59,1.47,48.6
229,233,Portimonense SC,Portuguese Liga,1.42,1.29,48.5
230,227,Belenenses,Portuguese Liga,1.23,1.13,47.91
231,237,Preston North End,English League Championship,1.33,1.23,47.76
232,230,Slavia Prague,UEFA Europa League,1.13,1.02,47.72
233,232,FC Ufa,Russian Premier Liga,1.03,0.93,47.52
234,234,Louisville City FC,United Soccer League,1.62,1.56,47.44
235,235,FC Luzern,Swiss Raiffeisen Super League,1.6,1.56,46.94
236,240,Goztepe,Turkish Turkcell Super Lig,1.27,1.21,46.76
237,231,Queens Park Rangers,English League Championship,1.29,1.25,46.61
238,238,Godoy Cruz,Argentina Primera Division,1.2,1.15,46.52
239,239,FK Qarabag,UEFA Europa League,1.26,1.22,46.48
240,243,LeÃ³n,Mexican Primera Division Torneo Clausura,1.37,1.33,46.44
241,241,Vorskla,UEFA Europa League,1.19,1.14,46.43
242,228,Frosinone,Italy Serie A,1.32,1.29,46.42
243,242,New York City FC,Major League Soccer,1.44,1.42,46.35
244,236,Guadalajara,Mexican Primera Division Torneo Clausura,1.23,1.2,46.18
245,244,Ã–stersunds FK,Swedish Allsvenskan,1.49,1.48,46.11
246,246,Bursaspor,Turkish Turkcell Super Lig,1.14,1.12,45.69
247,248,AtlÃ©tico TucumÃ¡n,Argentina Primera Division,1.24,1.23,45.65
248,270,Deportivo La CoruÃ±a,Spanish Segunda Division,1.19,1.18,45.54
249,249,Newell's Old Boys,Argentina Primera Division,1.1,1.09,45.41
250,250,Fluminense,Brasileiro SÃ©rie A,1.1,1.09,45.32
251,265,Moreirense,Portuguese Liga,1.15,1.15,45.32
252,259,HuracÃ¡n,Argentina Primera Division,1.17,1.18,45.23
253,252,AEK Larnaca,UEFA Europa League,1.17,1.17,45.21
254,255,Banfield,Argentina Primera Division,1.07,1.07,45.02
255,290,Alanyaspor,Turkish Turkcell Super Lig,1.2,1.22,45
256,277,FC Xanthi,Greek Super League,1.03,1.03,44.95
257,258,Seattle Sounders FC,Major League Soccer,1.33,1.37,44.73
258,257,Mamelodi Sundowns,South African ABSA Premier League,1.13,1.15,44.61
259,261,Talleres de CÃ³rdoba,Argentina Primera Division,1.07,1.09,44.54
260,254,Vitoria Setubal,Portuguese Liga,1.11,1.14,44.47
261,266,Sydney FC,Australian A-League,1.38,1.44,44.46
262,272,Blackburn,English League Championship,1.3,1.35,44.45
263,253,Antalyaspor,Turkish Turkcell Super Lig,1.1,1.13,44.4
264,245,Pumas Unam,Mexican Primera Division Torneo Clausura,1.35,1.41,44.39
265,263,Hamburger SV,German 2. Bundesliga,1.27,1.33,44.23
266,264,Union Santa Fe,Argentina Primera Division,1.05,1.09,44.18
267,281,Sheffield Wednesday,English League Championship,1.24,1.3,44.13
268,267,Videoton FC,UEFA Europa League,1.21,1.27,44.06
269,268,Lanus,Argentina Primera Division,1.14,1.19,44.01
270,269,Los Angeles FC,Major League Soccer,1.48,1.58,43.88
271,274,Rio Ave,Portuguese Liga,1.33,1.41,43.77
272,271,Changchun Yatai,Chinese Super League,1.39,1.49,43.73
273,295,Brest,French Ligue 2,1.26,1.34,43.67
274,247,Metz,French Ligue 2,1.16,1.23,43.66
275,275,Hammarby,Swedish Allsvenskan,1.4,1.51,43.61
276,276,América FC (Minas Gerais),Brasileiro SÃ©rie A,1.13,1.2,43.61
277,278,Toronto FC,Major League Soccer,1.5,1.61,43.58
278,332,Luton Town,English League One,1.3,1.4,43.48
279,280,Ural Sverdlovsk Oblast,Russian Premier Liga,1.26,1.35,43.42
280,251,Asteras Tripolis,Greek Super League,1.03,1.1,43.33
281,282,Tigre,Argentina Primera Division,1.22,1.31,43.26
282,284,Estudiantes,Argentina Primera Division,1.05,1.13,43.14
283,299,Necaxa,Mexican Primera Division Torneo Clausura,1.27,1.38,43.12
284,260,Melbourne Victory,Australian A-League,1.5,1.65,43
285,273,Wigan,English League Championship,1.17,1.27,42.95
286,287,Shimizu S-Pulse,Japanese J League,1.54,1.69,42.93
287,262,Akhisar Belediye,Turkish Turkcell Super Lig,1.26,1.38,42.92
288,286,Cadiz,Spanish Segunda Division,0.99,1.07,42.92
289,256,C.D. Nacional,Portuguese Liga,1.22,1.34,42.91
290,289,Aberdeen,Scottish Premiership,1.4,1.54,42.83
291,291,Hebei China Fortune FC,Chinese Super League,1.39,1.54,42.62
292,292,Chongqing Lifan,Chinese Super League,1.24,1.37,42.59
293,337,FC Groningen,Dutch Eredivisie,1.26,1.39,42.5
294,283,Chaves,Portuguese Liga,1.15,1.28,42.43
295,288,San Lorenzo,Argentina Primera Division,1.08,1.2,42.31
296,294,Columbus Crew,Major League Soccer,1.2,1.34,42.26
297,303,CD Tondela,Portuguese Liga,1.29,1.44,42.21
298,296,Portland Timbers,Major League Soccer,1.36,1.53,42.09
299,297,Colon Santa Fe,Argentina Primera Division,1.06,1.19,42
300,298,VÃ­toria,Brasileiro SÃ©rie A,1.21,1.37,41.82
301,300,Beijing Renhe FC,Chinese Super League,1.13,1.29,41.74
302,301,Argentinos Juniors,Argentina Primera Division,0.95,1.07,41.65
303,331,Atlas,Mexican Primera Division Torneo Clausura,1.21,1.38,41.61
304,302,Sport Recife,Brasileiro SÃ©rie A,1.11,1.26,41.57
305,305,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.32,1.51,41.47
306,293,SV Zulte Waregem,Belgian Jupiler League,1.63,1.87,41.43
307,308,FC Cincinnati,United Soccer League,1.41,1.62,41.33
308,309,1. FC Union Berlin,German 2. Bundesliga,1.18,1.36,41.33
309,310,Tianjin Quanjian FC,Chinese Super League,1.24,1.44,41.28
310,312,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.32,1.53,41.23
311,314,Philadelphia Union,Major League Soccer,1.33,1.53,41.21
312,306,Tijuana,Mexican Primera Division Torneo Clausura,1.13,1.31,41.15
313,321,Desportivo Aves,Portuguese Liga,1.22,1.42,41.1
314,313,Santa Clara,Portuguese Liga,1.19,1.38,41.03
315,315,Kashiwa Reysol,Japanese J League,1.44,1.68,40.89
316,316,Nagoya Grampus Eight,Japanese J League,1.5,1.75,40.87
317,317,St. PÃ¶lten,Austrian T-Mobile Bundesliga,1.18,1.38,40.77
318,318,Shanghai Greenland Shenhua FC,Chinese Super League,1.32,1.55,40.74
319,304,Waasland-Beveren,Belgian Jupiler League,1.22,1.43,40.74
320,319,FC Dallas,Major League Soccer,1.25,1.46,40.73
321,350,Caykur Rizespor,Turkish Turkcell Super Lig,1.22,1.44,40.63
322,320,San Martin San Juan,Argentina Primera Division,1.12,1.32,40.6
323,341,Morelia,Mexican Primera Division Torneo Clausura,1.25,1.47,40.5
324,307,Boavista,Portuguese Liga,0.99,1.17,40.44
325,279,Panetolikos,Greek Super League,1.23,1.47,40.24
326,324,AaB,Danish SAS-Ligaen,1.19,1.43,40.16
327,325,Djurgardens IF,Swedish Allsvenskan,1.09,1.3,40.14
328,382,VVV Venlo,Dutch Eredivisie,1.28,1.53,40.13
329,326,Odense BK,Danish SAS-Ligaen,1.15,1.38,40.12
330,327,Gamba Osaka,Japanese J League,1.24,1.49,40.11
331,328,Rapid Vienna,Austrian T-Mobile Bundesliga,1.18,1.42,40.1
332,329,LA Galaxy,Major League Soccer,1.54,1.83,40.09
333,330,Cerezo Osaka,Japanese J League,1.07,1.28,40.05
334,378,Barnsley,English League One,1.17,1.41,39.95
335,335,FC Lugano,Swiss Raiffeisen Super League,1.29,1.56,39.83
336,334,Rotherham United,English League Championship,1.24,1.51,39.82
337,336,Holstein Kiel,German 2. Bundesliga,1.42,1.71,39.81
338,344,Perth Glory,Australian A-League,1.37,1.65,39.72
339,338,Guangzhou R&F; FC,Chinese Super League,1.41,1.7,39.7
340,339,Montreal Impact,Major League Soccer,1.17,1.43,39.69
341,351,QuerÃ©taro,Mexican Primera Division Torneo Clausura,1.13,1.39,39.51
342,347,Aris Salonika,Greek Super League,1.08,1.32,39.51
343,340,Granada,Spanish Segunda Division,0.97,1.19,39.48
344,323,Puebla,Mexican Primera Division Torneo Clausura,1.17,1.43,39.47
345,392,Eupen,Belgian Jupiler League,1.25,1.53,39.47
346,342,Real Salt Lake,Major League Soccer,1.37,1.67,39.39
347,343,Sarpsborg,Norwegian Tippeligaen,1.24,1.52,39.36
348,345,St Gallen,Swiss Raiffeisen Super League,1.45,1.78,39.35
349,346,Yokohama F. Marinos,Japanese J League,1.4,1.71,39.28
350,348,DC United,Major League Soccer,1.28,1.58,39.19
351,349,Aldosivi,Argentina Primera Division,1.06,1.31,39.11
352,352,Rosario Central,Argentina Primera Division,1.01,1.27,39
353,357,Kilmarnock,Scottish Premiership,1.16,1.45,38.82
354,360,MÃ¡laga,Spanish Segunda Division,1.02,1.28,38.81
355,358,SK Brann,Norwegian Tippeligaen,1.22,1.52,38.78
356,359,San Martin de Tucuman,Argentina Primera Division,1.07,1.35,38.77
357,364,Maritimo,Portuguese Liga,0.98,1.24,38.72
358,362,FC Nordsjaelland,Danish SAS-Ligaen,1.32,1.66,38.64
359,363,Gimnasia La Plata,Argentina Primera Division,1.04,1.31,38.62
360,353,Newcastle Jets,Australian A-League,1.32,1.67,38.36
361,388,Willem II,Dutch Eredivisie,1.44,1.82,38.29
362,311,Heracles,Dutch Eredivisie,1.56,1.95,38.28
363,366,Henan Jianye,Chinese Super League,1.08,1.38,38.27
364,368,Krylia Sovetov,Russian Premier Liga,1.04,1.34,38.23
365,333,Melbourne City,Australian A-League,1.11,1.43,38.02
366,355,KV Oostende,Belgian Jupiler League,1.14,1.48,37.99
367,370,Belgrano Cordoba,Argentina Primera Division,0.99,1.29,37.94
368,371,Dalian YiFang FC,Chinese Super League,1.16,1.5,37.84
369,361,Sunderland,English League One,1.14,1.48,37.84
370,372,Tianjin Teda,Chinese Super League,1.23,1.58,37.84
371,373,SV Mattersburg,Austrian T-Mobile Bundesliga,1.34,1.72,37.75
372,375,SC Paderborn,German 2. Bundesliga,1.36,1.75,37.67
373,402,Osasuna,Spanish Segunda Division,1.04,1.37,37.65
374,354,Palermo,Italy Serie B,1.05,1.38,37.64
375,409,Auxerre,French Ligue 2,0.99,1.31,37.57
376,376,Feirense,Portuguese Liga,0.94,1.24,37.57
377,380,Metallurg Krasnoyarsk,Russian Premier Liga,1.1,1.45,37.36
378,381,Consadole Sapporo,Japanese J League,1.24,1.62,37.34
379,383,F91 Dudelange,UEFA Europa League,1.35,1.76,37.32
380,384,Orange County SC,United Soccer League,1.41,1.83,37.31
381,416,Clermont Foot,French Ligue 2,0.95,1.28,37.16
382,365,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,1.13,1.5,37.13
383,396,Mouscron-Peruwelz,Belgian Jupiler League,1.04,1.39,37.13
384,393,Reading,English League Championship,1.12,1.49,37.1
385,386,Kristiansund BK,Norwegian Tippeligaen,1.32,1.73,37.09
386,367,Panionios,Greek Super League,1.01,1.36,37.06
387,387,Haugesund,Norwegian Tippeligaen,1.1,1.47,36.98
388,379,Troyes,French Ligue 2,1.03,1.39,36.94
389,374,Erzurumspor,Turkish Turkcell Super Lig,1.05,1.41,36.9
390,397,Kayserispor,Turkish Turkcell Super Lig,1.06,1.44,36.68
391,389,New England Revolution,Major League Soccer,1.19,1.6,36.67
392,377,Larissa,Greek Super League,0.89,1.22,36.59
393,390,Grasshoppers ZÃ¼rich,Swiss Raiffeisen Super League,1.13,1.54,36.52
394,391,Patronato,Argentina Primera Division,1.12,1.52,36.51
395,394,Houston Dynamo,Major League Soccer,1.28,1.73,36.4
396,369,Albacete,Spanish Segunda Division,0.94,1.3,36.38
397,395,Sagan Tosu,Japanese J League,0.78,1.09,36.36
398,356,ADO Den Haag,Dutch Eredivisie,1.4,1.88,36.12
399,438,OFI Crete,Greek Super League,1.06,1.46,36.08
400,398,Arminia Bielefeld,German 2. Bundesliga,1.12,1.55,36.03
401,399,Arizona United,United Soccer League,1.21,1.66,36.02
402,425,Sporting GijÃ³n,Spanish Segunda Division,0.89,1.25,36.01
403,400,Hibernian,Scottish Premiership,1.12,1.54,35.96
404,401,FC Spartak Trnava,UEFA Europa League,0.9,1.27,35.94
405,403,Vissel Kobe,Japanese J League,1.27,1.74,35.88
406,385,Orlando Pirates,South African ABSA Premier League,1.08,1.51,35.87
407,404,GIF Sundsvall,Swedish Allsvenskan,1.08,1.51,35.8
408,405,Hartberg,Austrian T-Mobile Bundesliga,1.47,1.99,35.64
409,408,Sanfrecce Hiroshima,Japanese J League,1.06,1.5,35.49
410,410,Jahn Regensburg,German 2. Bundesliga,1.3,1.8,35.42
411,406,Bolton,English League Championship,0.97,1.39,35.41
412,407,Charlton Athletic,English League One,1.07,1.52,35.33
413,418,Brescia,Italy Serie B,1.14,1.61,35.25
414,419,Cercle Brugge,Belgian Jupiler League,1.16,1.65,35.1
415,322,Fortuna Sittard,Dutch Eredivisie,1.39,1.94,35
416,412,VfL Bochum,German 2. Bundesliga,1.14,1.63,34.86
417,431,Kaizer Chiefs,South African ABSA Premier League,0.9,1.32,34.82
418,415,Anzhi Makhachkala,Russian Premier Liga,0.91,1.35,34.64
419,426,Adelaide United,Australian A-League,1.1,1.59,34.6
420,417,Esbjerg,Danish SAS-Ligaen,1.06,1.54,34.58
421,466,PEC Zwolle,Dutch Eredivisie,1.16,1.67,34.56
422,457,Emmen,Dutch Eredivisie,1.19,1.72,34.27
423,420,FC St. Pauli,German 2. Bundesliga,1.08,1.59,34.23
424,421,Las Palmas,Spanish Segunda Division,1.13,1.65,34.2
425,423,Randers FC,Danish SAS-Ligaen,0.94,1.42,33.98
426,424,AGF Aarhus,Danish SAS-Ligaen,1.01,1.52,33.95
427,429,FC Tokyo,Japanese J League,0.81,1.25,33.74
428,430,Shonan Bellmare,Japanese J League,0.9,1.38,33.67
429,427,Western Sydney FC,Australian A-League,1.34,1.96,33.51
430,440,Bidvest Wits,South African ABSA Premier League,0.98,1.49,33.39
431,434,Stromsgodset,Norwegian Tippeligaen,1.27,1.88,33.25
432,435,Neuchatel Xamax,Swiss Raiffeisen Super League,1.32,1.95,33.18
433,436,ParanÃ¡,Brasileiro SÃ©rie A,0.86,1.35,33.17
434,413,Paris FC,French Ligue 2,0.7,1.14,33.07
435,437,Sonderjyske,Danish SAS-Ligaen,0.95,1.47,33.06
436,432,Ipswich Town,English League Championship,0.94,1.47,32.86
437,439,AC Horsens,Danish SAS-Ligaen,1.24,1.87,32.81
438,441,1. FC Heidenheim 1846,German 2. Bundesliga,1.08,1.66,32.79
439,442,Reno 1868 FC,United Soccer League,0.99,1.54,32.79
440,443,Vancouver Whitecaps,Major League Soccer,1.26,1.9,32.77
441,444,FC Wacker Innsbruck,Austrian T-Mobile Bundesliga,0.94,1.48,32.74
442,433,Almeria,Spanish Segunda Division,0.81,1.3,32.7
443,447,Livingston,Scottish Premiership,0.93,1.47,32.63
444,445,Cittadella,Italy Serie B,0.9,1.44,32.63
445,422,Portsmouth,English League One,1.05,1.63,32.59
446,449,Dynamo Dresden,German 2. Bundesliga,1.01,1.59,32.46
447,411,KSC Lokeren,Belgian Jupiler League,1.03,1.62,32.33
448,414,Lorient,French Ligue 2,0.89,1.44,32.24
449,451,Guizhou Hengfeng Zhicheng,Chinese Super League,1.07,1.68,32.23
450,452,Lens,French Ligue 2,0.91,1.46,32.16
451,428,Mallorca,Spanish Segunda Division,0.85,1.4,32.08
452,456,Giannina,Greek Super League,0.88,1.43,32.04
453,453,Chicago Fire,Major League Soccer,1.09,1.72,31.94
454,454,New York Red Bulls II,United Soccer League,1.42,2.16,31.83
455,477,Real Oviedo,Spanish Segunda Division,0.88,1.45,31.71
456,498,Black Aces,South African ABSA Premier League,1.02,1.64,31.65
457,450,Veracruz,Mexican Primera Division Torneo Clausura,0.97,1.59,31.5
458,458,Le Havre,French Ligue 2,0.91,1.51,31.5
459,459,St Johnstone,Scottish Premiership,0.92,1.52,31.35
460,460,Minnesota United FC,Major League Soccer,1.23,1.95,31.32
461,446,NAC,Dutch Eredivisie,1.18,1.88,31.31
462,455,Doncaster Rovers,English League One,1.16,1.85,31.25
463,461,SV Darmstadt 98,German 2. Bundesliga,0.99,1.63,31.15
464,462,Vegalta Sendai,Japanese J League,1.11,1.79,31.1
465,463,FC Ingolstadt 04,German 2. Bundesliga,1.02,1.67,31.01
466,468,SV Sandhausen,German 2. Bundesliga,0.86,1.47,30.78
467,464,Benevento,Italy Serie B,0.9,1.54,30.58
468,471,Jubilo Iwata,Japanese J League,0.93,1.58,30.51
469,472,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.2,1.97,30.26
470,473,San Jose Earthquakes,Major League Soccer,1.17,1.96,29.83
471,485,Lamia,Greek Super League,0.65,1.23,29.67
472,474,Valerenga,Norwegian Tippeligaen,1.04,1.79,29.59
473,475,Orlando City SC,Major League Soccer,1.1,1.87,29.56
474,470,Perugia,Italy Serie B,0.96,1.68,29.56
475,476,Bethlehem Steel FC,United Soccer League,1.01,1.75,29.49
476,448,Ankaragucu,Turkish Turkcell Super Lig,0.97,1.7,29.37
477,484,Spezia,Italy Serie B,0.86,1.55,29.35
478,467,Verona,Italy Serie B,0.93,1.66,29.32
479,478,Odd BK,Norwegian Tippeligaen,0.89,1.61,29.24
480,480,1. FC Magdeburg,German 2. Bundesliga,0.97,1.72,29.11
481,482,Numancia,Spanish Segunda Division,0.9,1.62,29.1
482,465,AD Alcorcon,Spanish Segunda Division,0.67,1.29,29.05
483,479,Crotone,Italy Serie B,0.93,1.68,28.77
484,483,Pittsburgh Riverhounds,United Soccer League,0.8,1.5,28.76
485,490,Excelsior,Dutch Eredivisie,1.36,2.29,28.57
486,486,Stabaek,Norwegian Tippeligaen,1.09,1.92,28.42
487,481,Niort,French Ligue 2,0.79,1.52,28.33
488,487,Orebro SK,Swedish Allsvenskan,0.94,1.73,28.31
489,488,Erzgebirge Aue,German 2. Bundesliga,0.9,1.68,28.27
490,499,Polokwane City FC,South African ABSA Premier League,0.9,1.67,28.13
491,469,Extremadura UD,Spanish Segunda Division,0.95,1.76,28.13
492,501,Tenerife,Spanish Segunda Division,0.77,1.49,28.06
493,513,Fleetwood Town,English League One,0.91,1.7,28.03
494,508,Wellington Phoenix,Australian A-League,1.06,1.91,27.99
495,494,Lecce,Italy Serie B,0.87,1.66,27.81
496,491,Bodo/Glimt,Norwegian Tippeligaen,0.8,1.56,27.71
497,489,Brisbane Roar,Australian A-League,1.05,1.92,27.68
498,540,De Graafschap,Dutch Eredivisie,1.13,2.04,27.6
499,497,Real Zaragoza,Spanish Segunda Division,0.88,1.69,27.49
500,495,Lillestrom,Norwegian Tippeligaen,0.92,1.75,27.44
501,496,Carolina Railhawks,United Soccer League,1.15,2.09,27.35
502,493,Foggia,Italy Serie B,0.93,1.76,27.34
503,541,Southend United,English League One,0.86,1.67,27.26
504,500,Hearts,Scottish Premiership,0.8,1.6,26.84
505,502,Vendsyssel,Danish SAS-Ligaen,0.87,1.71,26.77
506,503,Tromso,Norwegian Tippeligaen,1.04,1.96,26.72
507,507,Cremonese,Italy Serie B,0.71,1.49,26.57
508,505,Sacramento Republic FC,United Soccer League,0.75,1.55,26.45
509,515,Bury,English League Two,1.03,1.98,26.44
510,506,V-Varen Nagasaki,Japanese J League,0.92,1.82,26.29
511,511,Levadiakos,Greek Super League,0.69,1.47,26.25
512,509,Lugo,Spanish Segunda Division,0.64,1.39,26.24
513,514,Grenoble,French Ligue 2,0.73,1.53,26.23
514,512,AC Ajaccio,French Ligue 2,0.77,1.62,25.78
515,504,US Pescara,Italy Serie B,0.83,1.72,25.73
516,516,IFK Goteborg,Swedish Allsvenskan,1,1.98,25.62
517,517,Swope Park Rangers,United Soccer League,1.07,2.09,25.62
518,518,MSV Duisburg,German 2. Bundesliga,0.92,1.86,25.6
519,519,Nashville SC,United Soccer League,0.74,1.59,25.48
520,520,Ranheim,Norwegian Tippeligaen,0.97,1.96,25.3
